sPDL Tool v2.0 (Last edited 25 July 2015),Testset Quartiles,SiO2, , , ,TiO2, , , ,Al2O3, , , ,FeOT, , , ,MgO, , , ,CaO, , , ,Na2O, , , ,K2O, , , ,,,,
COMBINED PLS+ICA RESULTS,Min,0.11, , , ,0, , , ,0.02, , , ,0.0179962, , , ,0.01, , , ,0.01, , , ,0, , , ,0, , , ,,,,
,1st,48.3242, , , ,0.41, , , ,12.11, , , ,3.93975, , , ,1.68, , , ,0.42, , , ,0.53, , , ,0.460583, , , ,,,,
,Med,56, , , ,0.71, , , ,15.57, , , ,6.0917, , , ,2.91, , , ,1.88, , , ,1.99, , , ,1.87146, , , ,,,,
,3rd,63.4744, , , ,1.08, , , ,17.77, , , ,9.56011, , , ,4.95848, , , ,8.922, , , ,3.4, , , ,3.6, , , ,,,,
,Max,84.9, , , ,3.575, , , ,32.1395, , , ,49.0576, , , ,45.9258, , , ,35.67, , , ,6.77789, , , ,8.88, , , ,,,,
File,Target,SiO2,+/-,SiO2 RMSEP,SiO2_shots_stdev,TiO2,+/-,TiO2 RMSEP,TiO2_shots_stdev,Al2O3,+/-,Al2O3 RMSEP,Al2O3_shots_stdev,FeOT,+/-,FeOT RMSEP,FeOT_shots_stdev,MgO,+/-,MgO RMSEP,MgO_shots_stdev,CaO,+/-,CaO RMSEP,CaO_shots_stdev,Na2O,+/-,Na2O RMSEP,Na2O_shots_stdev,K2O,+/-,K2O RMSEP,K2O_shots_stdev,Sum of Oxides,Distance (m),Laser Power,Spectrum Total
CL5_398645626CCS_F0030004CCAM02013P3.CSV,Coronation,45.8,+/-,5,0.4,0.97,+/-,0.49,0.02,11.6,+/-,3.6,0.5,17.9,+/-,3.9,0.3,4,+/-,1.7,0.1,8.4,+/-,2.6,0.2,3.79,+/-,0.67,0.18,0.66,+/-,0.72,0.03,93.11,2.70011,100A/95A/95A,1.02E+15
CL5_398646038CCS_F0030004CCAM03013P3.CSV,NAu-2_Med-S,40,+/-,5.5,0.7,0.63,+/-,0.4,0.01,6.3,+/-,3.2,0.1,17.2,+/-,3.7,0.1,1.9,+/-,1.6,0.2,15,+/-,3.4,0.6,1.03,+/-,0.57,0.03,0.17,+/-,0.55,0.01,82.14,1.58076,100A/60A/60A,4.12E+14
CL5_398737278CCS_F0030004CCAM02014P3.CSV,Goulburn_3,47.4,+/-,4.9,3.5,7.24,+/-,3.29,4.15,22.3,+/-,3.8,2.5,15.9,+/-,3.5,3.8,4.4,+/-,1.8,0.3,3.7,+/-,1.4,0.6,3.31,+/-,0.64,0.25,0.97,+/-,0.85,0.2,105.25,5.95906,100A/95A/95A,2.10E+14
CL5_398825061CCS_F0030004CCAM01015P3.CSV,Goulburn_4,45.7,+/-,5,1.4,0.98,+/-,0.49,0.18,19.1,+/-,3.7,3.8,26.4,+/-,4.8,6.4,1.4,+/-,1.5,0.6,4.4,+/-,1.5,1.5,4.86,+/-,0.86,0.97,0.59,+/-,0.69,0.16,103.34,5.81117,100A/95A/95A,5.17E+14
CL5_398825848CCS_F0030004CCAM03015P3.CSV,Stark,74.1,+/-,5.5,2,0.6,+/-,0.39,0.06,9.7,+/-,3.5,0.2,0.3,+/-,1.6,1.6,1.7,+/-,1.5,0.5,2.3,+/-,1,0.4,5.26,+/-,0.94,0.41,1.07,+/-,0.9,0.18,95.09,3.27253,100A/95A/95A,2.71E+14
CL5_398826553CCS_F0030004CCAM05015P3.CSV,Mara,54.6,+/-,5.1,0.4,0.77,+/-,0.44,0.01,21.2,+/-,3.7,0.3,8.8,+/-,2.5,0.6,1.1,+/-,1.5,0.1,7.3,+/-,2.3,0.1,6.55,+/-,1.08,0.07,1.26,+/-,0.97,0.09,101.58,4.16691,100A/95A/95A,2.61E+14
CL5_399178818CCS_F0030078CCAM01019P3.CSV,Mara_1,51.5,+/-,5,0.5,0.82,+/-,0.45,0.02,17.4,+/-,3.7,0.3,12.9,+/-,3.1,0.5,1.5,+/-,1.5,0.1,8.4,+/-,2.6,0.2,5.52,+/-,0.97,0.18,0.95,+/-,0.85,0.08,99.06,3.10065,100A/95A/95A,6.37E+14
CL5_399178879CCS_F0030078CCAM01019P3.CSV,Mara_1,48.3,+/-,4.9,0.4,0.7,+/-,0.42,0.01,16.2,+/-,3.7,0.5,16.6,+/-,3.6,0.3,2.7,+/-,1.6,0.1,8.2,+/-,2.6,0.3,4.47,+/-,0.78,0.14,0.67,+/-,0.73,0.03,97.86,3.10065,100A/95A/95A,7.51E+14
CL5_399178941CCS_F0030078CCAM01019P3.CSV,Mara_1,45.6,+/-,5,1.9,0.98,+/-,0.49,0.04,6.6,+/-,3.3,0.3,23.3,+/-,4.6,1.6,4.6,+/-,1.8,0.2,4.9,+/-,1.7,1,2.77,+/-,0.61,0.09,0.23,+/-,0.57,0.05,89.01,3.10065,100A/95A/95A,1.32E+15
CL5_399179003CCS_F0030078CCAM01019P3.CSV,Mara_1,50,+/-,5,0.3,0.9,+/-,0.47,0.01,17.7,+/-,3.7,0.2,13.5,+/-,3.2,0.4,1.6,+/-,1.5,0.2,9.6,+/-,2.8,0.2,5.19,+/-,0.93,0.14,0.75,+/-,0.76,0.03,99.37,3.10065,100A/95A/95A,7.65E+14
CL5_399179065CCS_F0030078CCAM01019P3.CSV,Mara_1,51.3,+/-,5,1.1,2.21,+/-,0.82,0.23,12.4,+/-,3.6,0.5,16.9,+/-,3.7,0.7,2.4,+/-,1.6,0.1,8,+/-,2.5,0.9,4.25,+/-,0.73,0.12,0.93,+/-,0.84,0.05,98.36,3.10065,100A/95A/95A,8.72E+14
